item_id,source,survey_wave,population,topic,question_ca,question_es,options,options_es,pop_dist,dimension,source_status,notes
ceo_independence,CEO,"CEO Baròmetre d'Opinió Política, REO 1145 (2025-10-13)",catalonia,independence,Vol que Catalunya esdevingui un estat independent?,¿Quiere que Cataluña se convierta en un estado independiente?,Sí|No|No ho sap|No contesta,Sí|No|No sabe|No contesta,0.3935|0.527|0.0565|0.023,national,verified,Marginal from official CEO open microdata. Source: https://documents.dadesobertes.gencat.cat/ceo/docs/microdades_anonimitzades_bop_presencial.sav (catalogue: https://analisi.transparenciacatalunya.cat/Sector-P-blic/Microdades-acumulades-de-les-enquestes-del-Centre-/gp4k-sxxn). Accessed 2026-06-18. n=2000.
ceo_identity,CEO,"CEO Baròmetre d'Opinió Política, REO 1145 (2025-10-13)",catalonia,national_identity,Amb quins d'aquests sentiments se sent més identificat?,¿Con cuál de estos sentimientos se siente más identificado?,Només espanyol/a|Més espanyol/a que català/ana|Tan espanyol/a com català/ana|Més català/ana que espanyol/a|Només català/ana|No ho sap|No contesta,Solo español/a|Más español/a que catalán/ana|Tan español/a como catalán/ana|Más catalán/ana que español/a|Solo catalán/ana|No sabe|No contesta,0.048|0.0675|0.444|0.2495|0.1635|0.0095|0.018,national,verified,Marginal from official CEO open microdata. Source: https://documents.dadesobertes.gencat.cat/ceo/docs/microdades_anonimitzades_bop_presencial.sav (catalogue: https://analisi.transparenciacatalunya.cat/Sector-P-blic/Microdades-acumulades-de-les-enquestes-del-Centre-/gp4k-sxxn). Accessed 2026-06-18. n=2000.
ceo_ideology,CEO,"CEO Baròmetre d'Opinió Política, REO 1145 (2025-10-13)",catalonia,ideology,"Quan parlem de política s'utilitzen normalment les expressions esquerra i dreta. En una escala del 0 (esquerra) al 10 (dreta), on se situaria?","Cuando hablamos de política se utilizan normalmente las expresiones izquierda y derecha. En una escala del 0 (izquierda) al 10 (derecha), ¿dónde se situaría?",0 (Extrema esquerra)|1|2|3|4|5|6|7|8|9|10 (Extrema dreta)|No ho sap|No contesta,0 (Extrema izquierda)|1|2|3|4|5|6|7|8|9|10 (Extrema derecha)|No sabe|No contesta,0.0435|0.0275|0.065|0.1525|0.1655|0.3025|0.0665|0.053|0.029|0.0065|0.017|0.0355|0.036,economic,verified,Marginal from official CEO open microdata. Source: https://documents.dadesobertes.gencat.cat/ceo/docs/microdades_anonimitzades_bop_presencial.sav (catalogue: https://analisi.transparenciacatalunya.cat/Sector-P-blic/Microdades-acumulades-de-les-enquestes-del-Centre-/gp4k-sxxn). Accessed 2026-06-18. n=2000.
ceo_monarchy,CEO,"CEO Baròmetre d'Opinió Política, REO 1145 (2025-10-13)",catalonia,monarchy,És partidari de la monarquia o de la república?,¿Es partidario de la monarquía o de la república?,Monarquia|República|Una altra|No ho sap|No contesta,Monarquía|República|Otra|No sabe|No contesta,0.1675|0.712|0.0285|0.066|0.026,social,verified,Marginal from official CEO open microdata. Source: https://documents.dadesobertes.gencat.cat/ceo/docs/microdades_anonimitzades_bop_presencial.sav (catalogue: https://analisi.transparenciacatalunya.cat/Sector-P-blic/Microdades-acumulades-de-les-enquestes-del-Centre-/gp4k-sxxn). Accessed 2026-06-18. n=2000. Monarchy is sourced from CEO (Catalonia) because the CIS has not asked about the monarchy in its surveys for 6+ years.
ceo_state_model,CEO,"CEO Baròmetre d'Opinió Política, REO 1145 (2025-10-13)",catalonia,state_model,Quina creu que hauria de ser la relació entre Catalunya i Espanya? Catalunya hauria de ser...,¿Cuál cree que debería ser la relación entre Cataluña y España? Cataluña debería ser...,Una regió d'Espanya|Una comunitat autònoma d'Espanya|Un estat dins una Espanya federal|Un estat independent|No ho sap|No contesta,Una región de España|Una comunidad autónoma de España|Un estado dentro de una España federal|Un estado independiente|No sabe|No contesta,0.0585|0.3325|0.229|0.3085|0.0515|0.02,national,verified,Marginal from official CEO open microdata. Source: https://documents.dadesobertes.gencat.cat/ceo/docs/microdades_anonimitzades_bop_presencial.sav (catalogue: https://analisi.transparenciacatalunya.cat/Sector-P-blic/Microdades-acumulades-de-les-enquestes-del-Centre-/gp4k-sxxn). Accessed 2026-06-18. n=2000.
ceo_trust_gov_spain,CEO,"CEO Baròmetre d'Opinió Política, REO 1119 (2025-02-14)",catalonia,institutional_trust,Quina confiança té en el Govern d'Espanya? Valori-ho del 0 (cap confiança) al 10 (molta confiança).,¿Cuánta confianza tiene en el Gobierno de España? Valórelo del 0 (ninguna confianza) al 10 (mucha confianza).,0 (Cap confiança)|1|2|3|4|5|6|7|8|9|10 (Molta confiança)|No ho sap|No contesta,0 (Ninguna confianza)|1|2|3|4|5|6|7|8|9|10 (Mucha confianza)|No sabe|No contesta,0.193|0.034|0.0855|0.099|0.112|0.195|0.113|0.0805|0.052|0.0115|0.011|0.01|0.0035,institutional,verified,Marginal from official CEO open microdata. Source: https://documents.dadesobertes.gencat.cat/ceo/docs/microdades_anonimitzades_bop_presencial.sav (catalogue: https://analisi.transparenciacatalunya.cat/Sector-P-blic/Microdades-acumulades-de-les-enquestes-del-Centre-/gp4k-sxxn). Accessed 2026-06-18. n=2000.
ceo_trust_gov_catalonia,CEO,"CEO Baròmetre d'Opinió Política, REO 1119 (2025-02-14)",catalonia,institutional_trust,Quina confiança té en el Govern de Catalunya? Valori-ho del 0 (cap confiança) al 10 (molta confiança).,¿Cuánta confianza tiene en el Gobierno de Cataluña? Valórelo del 0 (ninguna confianza) al 10 (mucha confianza).,0 (Cap confiança)|1|2|3|4|5|6|7|8|9|10 (Molta confiança)|No ho sap|No contesta,0 (Ninguna confianza)|1|2|3|4|5|6|7|8|9|10 (Mucha confianza)|No sabe|No contesta,0.1225|0.0245|0.0575|0.08|0.111|0.2155|0.144|0.1305|0.0685|0.015|0.016|0.012|0.003,institutional,verified,Marginal from official CEO open microdata. Source: https://documents.dadesobertes.gencat.cat/ceo/docs/microdades_anonimitzades_bop_presencial.sav (catalogue: https://analisi.transparenciacatalunya.cat/Sector-P-blic/Microdades-acumulades-de-les-enquestes-del-Centre-/gp4k-sxxn). Accessed 2026-06-18. n=2000.
ceo_trust_monarchy,CEO,"CEO Baròmetre d'Opinió Política, REO 1119 (2025-02-14)",catalonia,institutional_trust,Quina confiança té en la monarquia? Valori-ho del 0 (cap confiança) al 10 (molta confiança).,¿Cuánta confianza tiene en la monarquía? Valórelo del 0 (ninguna confianza) al 10 (mucha confianza).,0 (Cap confiança)|1|2|3|4|5|6|7|8|9|10 (Molta confiança)|No ho sap|No contesta,0 (Ninguna confianza)|1|2|3|4|5|6|7|8|9|10 (Mucha confianza)|No sabe|No contesta,0.5205|0.049|0.071|0.0575|0.0515|0.101|0.035|0.039|0.033|0.0085|0.0185|0.01|0.0055,institutional,verified,Marginal from official CEO open microdata. Source: https://documents.dadesobertes.gencat.cat/ceo/docs/microdades_anonimitzades_bop_presencial.sav (catalogue: https://analisi.transparenciacatalunya.cat/Sector-P-blic/Microdades-acumulades-de-les-enquestes-del-Centre-/gp4k-sxxn). Accessed 2026-06-18. n=2000.
ceo_trust_parties,CEO,"CEO Baròmetre d'Opinió Política, REO 1119 (2025-02-14)",catalonia,institutional_trust,Quina confiança té en els partits polítics? Valori-ho del 0 (cap confiança) al 10 (molta confiança).,¿Cuánta confianza tiene en los partidos políticos? Valórelo del 0 (ninguna confianza) al 10 (mucha confianza).,0 (Cap confiança)|1|2|3|4|5|6|7|8|9|10 (Molta confiança)|No ho sap|No contesta,0 (Ninguna confianza)|1|2|3|4|5|6|7|8|9|10 (Mucha confianza)|No sabe|No contesta,0.2615|0.042|0.1085|0.125|0.1295|0.1775|0.0635|0.044|0.026|0.004|0.004|0.009|0.0055,institutional,verified,Marginal from official CEO open microdata. Source: https://documents.dadesobertes.gencat.cat/ceo/docs/microdades_anonimitzades_bop_presencial.sav (catalogue: https://analisi.transparenciacatalunya.cat/Sector-P-blic/Microdades-acumulades-de-les-enquestes-del-Centre-/gp4k-sxxn). Accessed 2026-06-18. n=2000.
ceo_trust_eu,CEO,"CEO Baròmetre d'Opinió Política, REO 1119 (2025-02-14)",catalonia,institutional_trust,Quina confiança té en la Unió Europea? Valori-ho del 0 (cap confiança) al 10 (molta confiança).,¿Cuánta confianza tiene en la Unión Europea? Valórelo del 0 (ninguna confianza) al 10 (mucha confianza).,0 (Cap confiança)|1|2|3|4|5|6|7|8|9|10 (Molta confiança)|No ho sap|No contesta,0 (Ninguna confianza)|1|2|3|4|5|6|7|8|9|10 (Mucha confianza)|No sabe|No contesta,0.1115|0.018|0.0595|0.0745|0.0965|0.211|0.1275|0.126|0.1015|0.0235|0.02|0.0265|0.004,institutional,verified,Marginal from official CEO open microdata. Source: https://documents.dadesobertes.gencat.cat/ceo/docs/microdades_anonimitzades_bop_presencial.sav (catalogue: https://analisi.transparenciacatalunya.cat/Sector-P-blic/Microdades-acumulades-de-les-enquestes-del-Centre-/gp4k-sxxn). Accessed 2026-06-18. n=2000.
